category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
seafood,,"Atlantic Salmon, Whole","Atlantic Salmon, Whole",$18.50(est.)ea,,$24.23/ 1kg,False
seafood,High Liner,Alaskan Pollock Fillets,High LinerAlaskan Pollock Fillets1.32 kg,$16.99ea,,$1.29/ 100g,False
seafood,President's Choice,Atlantic Salmon Strips Hot Smoked Spicy & Candied ,President's ChoiceAtlantic Salmon Strips Hot Smoked Spicy & Candied 150 g,$10.99ea,,$7.33/ 100g,False
seafood,,Canadian Snow Crab,Canadian Snow Crab,$26.81(est.)ea,,$59.50/ 1kg,False
seafood,President's Choice,Wild Atlantic Cold Water Shrimp Cooked Peeled ,President's ChoiceWild Atlantic Cold Water Shrimp Cooked Peeled 340 g,$13.99ea,,$4.11/ 100g,False
seafood,President's Choice,Breaded Potato and Wild Salt Cod Croquettes,President's ChoiceBreaded Potato and Wild Salt Cod Croquettes300 g,$9.99ea,,$3.33/ 100g,False
seafood,,Atlantic Perch Fillets,Atlantic Perch Fillets,$7.03(est.)ea,,$30.84/ 1kg,False
seafood,Sardo,Select Shrimp Spicy Jalapeño Marinated,SardoSelect Shrimp Spicy Jalapeño Marinated250 ml,$9.99ea,,$4.00/ 100ml,False
seafood,,"Fresh Atlantic Salmon Portion, Herb and Garlic Flavour, Packaged","Fresh Atlantic Salmon Portion, Herb and Garlic Flavour, Packaged1 ea",$5.99ea,,$5.99/ 1ea,False
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring227 g,$8.99ea,,$3.96/ 100g,False
seafood,,"Fresh Atlantic Salmon Portion, Jerk Flavour, 113G, Packaged","Fresh Atlantic Salmon Portion, Jerk Flavour, 113G, Packaged1 ea",$5.99ea,,$5.99/ 1ea,False
seafood,,Fresh Whole Whiting,Fresh Whole Whiting,$12.00(est.)ea,,$13.21/ 1kg,False
seafood,,Sole Fillet,Sole Fillet,$6.08(est.)ea,,$30.84/ 1kg,False
seafood,Paese Mio,Anchovies,Paese MioAnchovies235 g,$13.99ea,,$5.95/ 100g,False
seafood,High Liner,Catch of the Day Salmon Fillets,High LinerCatch of the Day Salmon Fillets680 g,$16.99ea,,$2.50/ 100g,False
seafood,Anchor Bay,Cooked Clam Meat,Anchor BayCooked Clam Meat340 g,$6.99ea,,$2.33/ 100g,False
seafood,Seaquest,King Crab Flavoured Wild Alaska Pollock Chunks,SeaquestKing Crab Flavoured Wild Alaska Pollock Chunks227 g,$3.99ea,,$1.76/ 100g,False
seafood,President's Choice,Everything Seasoned Smoked Steelhead Salmon,President's ChoiceEverything Seasoned Smoked Steelhead Salmon150 g,$13.99ea,,$9.33/ 100g,False
seafood,Fortune Oysters, Live Oysters,Fortune Oysters Live Oysters360 g,$9.99ea,,$2.78/ 100g,False
seafood,Seaquest,"Sole Fillets, Skinless Boneless","SeaquestSole Fillets, Skinless Boneless400 g",$8.99ea,,$2.25/ 100g,False
seafood,President's Choice,Smoked Atlantic Salmon,President's ChoiceSmoked Atlantic Salmon150 g,$13.99ea,,$9.33/ 100g,False
