,store,category,brand,product,price,per_unit_price,units
202,Walmart,flyer,Serta,Serta 5-in-1 Ultimate Mattress Pad,49.97,49.97,
203,Walmart,flyer,Beautyrest,Beautyrest Sheet Set,19.88,19.88,
204,Walmart,flyer,,Beautyrest Sheet Set,19.88,19.88,
205,Walmart,flyer,Beautyrest,Beautyrest Sheet Set,19.88,19.88,
206,Walmart,flyer,,Beautyrest Blanket,29.88,29.88,
207,Walmart,flyer,Serta,Serta So Fluffy! Antimicrobial Duvet,94.97,94.97,
208,Walmart,flyer,Beautyrest,Beautyrest Sheet Set,19.88,19.88,
209,Walmart,flyer,Beautyrest,Beautyrest Sheet Set,19.88,19.88,
210,Walmart,flyer,,Beautyrest Blanket,29.88,29.88,
211,Walmart,flyer,,Beauty Sheet Set,19.88,19.88,
212,Walmart,flyer,,Full Size Wax Warmer,22.97,22.97,
213,Walmart,flyer,,Full Size Wax Warmer,22.97,22.97,
214,Walmart,flyer,Hometrends,Hometrends Ribbed Bath Towels,10.97,10.97,
215,Walmart,flyer,Beautyrest,Beautyrest 7-Piece Bed in a Bag,69.88,69.88,
216,Walmart,flyer,Hometrends,Hometrends Ribbed Bath Towels,10.97,10.97,
217,Walmart,flyer,Hometrends,Hometrends Ribbed Bath Towels,10.97,10.97,
218,Walmart,flyer,,Walmart Canada,,,
219,Walmart,flyer,,Financial-services,,,
220,Walmart,flyer,Sistema,Sistema Bento Box,9.87,9.87,
221,Walmart,flyer,,Contigo Shake & Go Bottles,15.97,15.97,
222,Walmart,flyer,,Contigo Shake & Go Bottles,15.97,15.97,
223,Walmart,flyer,Sistema,Sistema Bento Box,9.87,9.87,
224,Walmart,flyer,Sterilite,Sterilite 26 L Latch Clear Tote,7.97,0.030653846153846157,100ml
225,Walmart,flyer,Sterilite,Sterilite 26 L Latch Clear Tote,7.97,0.030653846153846157,100ml
226,Walmart,flyer,,Mistral 19 L Classic Step Can,13.57,0.07142105263157895,100ml
227,Walmart,flyer,,Mistral 19 L Classic Step Can,13.57,0.07142105263157895,100ml
228,Walmart,flyer,Sterilite,Sterilite 70.5 L Hamper,19.97,0.028326241134751774,100ml
229,Walmart,flyer,,Sterilite 68 L Tuff1 Tote,14.97,0.022014705882352943,100ml
230,Walmart,flyer,Sterilite,Sterilite 10-Pack 5.7 L Totes,14.97,0.26263157894736844,100ml
231,Walmart,flyer,Sterilite,Sterilite 4-Pack 11.4 L Totes,14.97,0.13131578947368422,100ml
232,Walmart,flyer,Sterlite,Sterlite 47 L Wheeled Tote,19.97,0.04248936170212766,100ml
233,Walmart,flyer,Hamilton Beach,Hamilton Beach 0.7-cu. ft. Microwave,69.97,69.97,
234,Walmart,flyer,T-fal,T-fal Ultra 4.2 L Air Fryer,98.97,2.3564285714285713,100ml
235,Walmart,flyer,Kalorik,Kalorik 2-qt. Com act Air Fryer,42.88,42.88,
236,Walmart,flyer,Arctic King,Arctic King 3-cu. ft. Upright or 5-cu. ft. Chest Freezer,197.97,197.97,
237,Walmart,flyer,Arctic King,Arctic King 5-cu. ft. Chest Freezer,197.97,197.97,
238,Walmart,flyer,Brita,Brita 4-Pack Filters,24.97,24.97,
239,Walmart,flyer,,NutriBullet GO Portable Blender,29.98,29.98,
240,Walmart,flyer,Ninja,Ninja Twisti High Speed Blender Duo,119.98,119.98,
241,Walmart,flyer,Dirt Devil,Dirt Devil 4-in-1 Power Stick Vacuum with Removable Hand Vac,49.98,49.98,
242,Walmart,flyer,Hoover,Hoover Power Dash Carpet Cleaner,129.98,129.98,
243,Walmart,flyer,IAMS,IAMS Dry Dog Food,14.97,0.0047075471698113215,100g
244,Walmart,flyer,IAMS,IAMS Dry Dog Food,14.97,0.4707547169811321,100g
245,Walmart,flyer,IAMS,IAMS Dry Cat Food,11.47,0.7213836477987422,100g
246,Walmart,flyer,IAMS,IAMS Dry Cat Food,11.47,0.7213836477987422,100g
247,Walmart,flyer,,learn more,,,
248,Walmart,flyer,,Mastercard,,,
249,Walmart,flyer,,learn more,,,
250,Walmart,flyer,,Grocery Home Shopping,,,
251,Walmart,flyer,,Grocery,,,
252,Walmart,flyer,,Find a Pharmacy Near Me,,,
253,Walmart,flyer,,shop,,,
254,Walmart,flyer,,Centrum Men Multivitamins,11.47,11.47,
255,Walmart,flyer,Centrum,Centrum Women Multivitamins,11.47,11.47,
256,Walmart,flyer,Centrum,Centrum Women Multivitamins,11.47,11.47,
257,Walmart,flyer,Centrum,Centrum Men or Women Multivitamins,11.47,11.47,
258,Walmart,flyer,Emergen-C,Emergen-C Kidz Junior Immune+ Support,22.0,11.0,
259,Walmart,flyer,Emergen-C,Emergen-C Kidz Junior or Kidz Junior Immune+ Support,22.0,11.0,
260,Walmart,flyer,Centrum,Centrum Kid Chewable Tablets,9.97,9.97,
261,Walmart,flyer,Centrum,Centrum Kids Chewable Tablets,9.97,9.97,
262,Walmart,flyer,,Centrum Men or Women Minis Immunity,11.47,11.47,
263,Walmart,flyer,,Centrum Men or Women Minis Immunity*,11.47,11.47,
264,Walmart,flyer,Centrum,Centrum Select Multivitamins,27.97,27.97,
